id,smiles,concentration,shifts/heights
GC-0800-02-F04,ClC=1(C(=O)NN=CC=1N2(CCC(C(F)(F)F)CC2)),111.00822494363042,-73.53436873234057,1
EA-0869-06-C05,FC(F)(F)C2(=NC=C(C(=O)NC1(CC1))C=C2),118.60843583222778,-67.69266432775603,1
FS-1069-01-A04,FC(F)(F)C1(=C(N)C=NC=C1),54.878354948127175,-64.95705856932018,1
PS-6410-06-E01,FC(F)(F)C1(=NN=C2(N1CCNC2)),133.9084121198303,-63.58703450972028,1
8J-028-02-F01,FC(F)(F)C1=CN2C(=NN=C2C2=CN=CC=C2)C(Cl)=C1,112.0852918971021,-62.50398695547108,1
9B-057-04-A01,FC(F)(F)C1(=CC(NC(=O)CC#N)=CC=C1),65.02147276168685,-62.35383516164981,1
BS-9785-05-B01,FC(F)(F)C1(=CC(=CC=C1)C(N)(C(=O)N)C),125.91927782527267,-62.167256009564234,1,-62.185025452619996,1
FS-2796-01-A10,FC(F)(F)C=1(N=C2(CNCCN2(C=1))),114.40859364191299,-61.9682382473396,1
PS-6804-05-G07,BrC1(=CC(=C(NC(=O)C)C=C1)C(F)(F)F),98.97596519,-61.635949662196694,1
7G-317S-04-D11,FC(F)(F)C2(=NN(C1(=CC=CC=C1))C(=C2O)C),57.35634917634692,-60.94827221593838,1
TS-03154-03-F05,ClC2(=C1(N=CNC1=CC(=C2)C(F)(F)F)),93.38278853000732,-60.43740072808498,1
PS-8337-01-B03,FC(F)(F)OC1(=CC=C(CO)C=C1),1.197868681716701,-57.66181372277363,1
PS-6724-01-B05,FC2(=CC=1(C(=NN(C=1C=C2)C)N)), 115.4107602,-107.5024360777513,1
FS-2759-01-F06,FC2(=CC=1(ON=C(C=1C=C2)N)),127.3754149,-109.15499428193796,1
9M-567S-02-E02,FC1=CC=C(C=C1)C1=CC=NC(N2CCOCC2)=C1C#N,120.3642877,-111.08564426994742,1
BH-0430-02-A12,ClC1(=C(C=CC(=C1)F)CC#N),54.18830528,-112.0167630860698,1
LB-0732-05-H01,FC2(=CC=C(C1(=NNC(=C1)N))C=C2),104.7386029,-113.2162004923343,1
BS-4026-03-G12,ClC1(=C(C(F)=CC=C1)CC(=O)O),120.8789126,-114.0433680665804,1
FS-3450-06-B03,FC2(=CC=C(CN1(CCNCCC1))C=C2),41.56171129,-114.9656021611749,1
MS-2340-05-C04,FC3(=CC=C(NC(=O)C2(OC1(=C(C=CC=C1)OC2)))C=C3),104.830555,-116.00511457993746,1
FS-2561-05-A05,FC2(=C1(C(=O)CCC1=CC=C2)),80.03667128,-116.82073201619731,1
PS-9036-02-F09,FC1(=CC=C(CCO)C=C1),43.10379482,-117.54483682071996,1
PS-6657-04-D08,ClC1(=C(N=CC(=C1)F)C(=O)OC),17.78376761,-118.2387335720478,1
PS-8716-02-C07,ClC1(=C(F)C(=CC=C1)CC#N),6.133560423,-119.6407426291481,1
FS-1258-02-A05,FC2(=CC1(=C(NC(=C1)C(=O)O)C=C2)),102.032531,-124.22881282614802,1
TS-02168-03-G04,FC2(=CN=C(N1(C=NC=C1))C=C2),96.84264485,-128.69960469897987,1
PS-6636-06-D03,FC2(=C1(NCCC(C1=CC=C2)=O)),133.3425445,-134.9580025432222,1
CL-0786-05-A11,FC1(=C(F)C=C(CO)C(=C1)N),105.0995785,-139.17735679681488,1,-139.21822651584316,1,-151.4373840331437,1,-151.47736528001917,1
FS-3791-01-F09,FC1(=C(N=C(OCC)N=C1)N),138.4434403,-164.3459959410081,1,-164.3948619094115,1
BS-4164-04-F02,FC(F)(F)OC1(=CC(C(=O)O)=CC=C1),75.83328721,-57.62538636450931,1
GH-0708-05-D11,ClC1(=NC=CC(=C1CO)C(F)(F)F),68.01548461,-60.41785434072363,1
EC-0707-04-D10,[Br]C1(=C(N=CC(=C1)C(F)(F)F)N),26.98080207,-60.94205291086886,1
FS-1731-02-E04,FC(F)(F)C1(=C(C(=O)N)C=NC=C1),108.8560156,-61.600410776085155,1
FS-2555-04-D06,FC(F)(F)C1(=CNC(=O)C=C1),69.79326245,-62.174363786786536,1
2G-014-02-H01,ClC1(=C(N=CC(=C1)C(F)(F)F)C2(=NOC(=C2)C(=O)C)),106.8779951,-62.48177515165136,1,-62.5022100111655,1
2R-1501-03-C07,CN1C2=CC=CC=C2N=C1C(F)(F)F,75.20970719,-62.75986693547418,1
PS-6630-01-B07,FC(F)(F)C1(=CC(OC)=C(C#N)C=C1),100.1782121,-63.20054912325728,1
FS-2051-05-H04,FC(F)(F)C1(=CC(=NC=C1)N2(CCNCC2)),89.36164096,-64.86465746543018,1
MA-0809-04-C05,FC(F)(F)C1(=NC=C(C(=O)N)C=C1),74.38017153,-67.67933724546421,1
MS-6175-01-C06,S1(=O)(=O)(N=C(C=C(N1)C)C(F)(F)F),135.2054401,-71.37626987321725,1
7R-1066-02-E03,FC(F)(F)C(O)CN2(CCC1(OCCO1)(CC2)),121.4722884,-78.77635443379285,1
BS-4238-01-H05,S(=O)(=O)(C1(=C(F)C=C(F)C=C1))CC#N,71.16509446,-95.36146410989616,1,-95.38722980232703,1,-103.4252373686048,1,-103.45100306103565,1
AS-9327-02-D11,Nc1cc(F)ccc1-n1ccnc1,90.35932217,-121.97564744667633,1
MS-2501-05-D04,FC(F)(F)C2(=CC=C(CN1(C(COC1)(C)C))C=C2),78.1645709,-61.91226450171392,1,-62.34850432873309,1
PS-8638-01-A03,FC1(=C(O)C(=C(F)C=C1)C(=O)O),113.29544643128885,-117.10593157724244,1,-117.13613963043724,1,-142.74634943456638,1,-142.77744595991396,1
MS-7310-01-A05,FC1(=CC=C(OCC(=O)N)C=C1),113.71835435647563,-122.69886377904618,1
TS-02867-01-A06,FC(F)(F)C1(=NN=C2(N1C=CC=C2N)),116.30662586546312,-64.70562095008103,1
PS-6612-01-A07,FC(F)(F)C1(=CC(NC(=O)N)=CC=C1),134.2773140895441,-62.299638360329716,1,-62.32540405276059,1
TS-02051-01-A08,FC1(=C(C#N)C(F)=CC=C1N),134.106739,-119.28002293511595,1,-119.28890765664384,1,-125.20257830560423,1,-125.21146302713213,1
FS-2581-01-A09,S(=O)(=O)(N)CC1(=C(F)C=CC=C1),166.7666734,-117.43111238516303,1
3Y-0926-01-A11,FC(F)(F)C2(=CC(N1(N=CC(=C1N)C#N))=CC=C2),121.0463035,-62.42668987817848,1,-62.449790154150975,1
AS-5707-01-B02,NC1=CC=CC(=C1)C1=CSC(=N1)C(F)(F)F,120.95773326982213,-60.83454778038145,1
FS-1683-01-B04,FC1(=C(OC)C=CC(=C1)CC(=O)O),110.9407066,-136.67808463102077,1
MS-6836-01-B06,FC(F)(F)C=1(NCCN=C(C=1)C2(=CC=CC=C2)),122.04846900335794,-68.81747007318631,1
TS-02539-01-B08,FC2(=CN=C(N1(CCOCC1))C=C2),100.42130168922581,-139.76819077841924,1
FS-3265-01-B09,FC(F)(F)C1(=C(O)C=CC(=C1)C(=O)OC),147.3923548,-62.29874988817693,1,-119.55900319109155,1
6X-0933-01-B11,FC4(=CC=C(N2(N=C3(C1(=C(C=CC=C1)OCC3(=C2)))))C=C4),116.11267345989602,-111.59473881349524,1
6G-428S-01-B12,FC1=CC=C(OC(F)(F)C(=O)N2CCOCC2)C=C1,120.43410434604691,-71.03687351085203,1,-115.93403680771438,1
1F-380S-01-C01,FC1=CC=C(C=C1)N1NC(=O)C2=CC=CN=C12,133.5773893,-117.29873003439755,1
GE-0239-01-C05,FC(F)(F)C1(=C(C(=O)O)C=CN=C1),121.246306,-60.04469603655245,1,-60.28813740641651,1
SS-4760-01-C07,FC2(=CC=C(CN1(N=CC(=C1)CO))C=C2),112.35990723670307,-114.67240635075467,1
FS-1223-01-C08,FC1(=C(C=CC=C1)C(O)C(=O)O),118.00712505088465,-118.86155255115256,1
FS-3642-01-C09,FC(F)(F)C1(=NC2(=CC=C(C=C2(N1))OC)),150.8986014723591,-63.985070034169546,1,-75.34507497972358,1
BH-0405-01-C10,S(=O)(=O)(C1(=CC(F)=C(N)C=C1))C,117.7556525,-133.18372365410352,1
4X-0271-01-C11,FC(F)(F)C1=CC(=CC=C1)C1=NC2=NC=NN2C=C1,139.1322399,-62.39914724144204,1,-62.42135904526174,1
11T-0875-01-D01,CC1=NNC(=O)N1C1=CC=C(F)C=C1,108.0486950200147,-111.40371730064571,1
AS-8752-01-D02,OCc1ccc(cc1)-c1ccc(F)cc1,112.18966535939016,-115.74568071132322,1
FS-2084-01-D03,FC1(=C(C(OC)=CC=C1)C(=O)N),158.74407227248483,-116.34095705369153,1
PS-6387-01-D04,FC2(=C(OC1(=NC=CC=C1N))C=CC=C2),153.07317090398263,-130.9705395215073,1
MS-6903-01-D06,FC2(=C(NC1(=CC(=O)CC(C1)(C)C))C=CC=C2),117.15913953210644,-123.04270250217535,1,-123.06491430599505,1
PS-6574-01-D07,FC1(=C(OC)C=CC(=C1)C#N),115.14067711822332,-133.76567291418002,1
FS-1652-01-D08,S2(C=1(N=CNC(C=1C(=C2)C3(=CC=C(F)C=C3))=O)),104.658198,-114.69284121026881,1
FS-1314-01-D09,FC1(=C(C(OC)=CC=C1)C(=O)C),53.74518046,-115.63373322007186,1
5E-366S-01-D11,FC(F)(F)C=1(N(N=C(C=1)O)C),122.4752274,-60.70216542961596,1
1F-062-01-D12,ClC2(=NN=C(C(C#N)C1(=C(Cl)C=CC=C1F))C=C2),111.33159023523386,-110.69827041133162,1
FS-3489-01-E01,FC1(=C(C(O)=CC(=C1)C(=O)O)C),126.7054332566927,-116.12416984841111,1
AS-8754-01-E02,OCc1ccc(cc1)-c1ccccc1F,121.38847045213585,-118.95928448795928,1
FS-3745-01-E03,FC2(=CC1(=C(CCC1CC(=O)O)C=C2)),138.65513422690657,-117.9215490135023,1
FS-1075-01-E04,FC1(=C(C#N)C(N(C)C)=CC=C1),42.05242423,-106.50645879447538,1
FS-1999-01-E06,FC1(=C(C=CC(=C1)NC2(CCNCC2))C),103.97631443057901,-116.7603159098077,1
TS-02916-01-E08,FC(F)(F)OC1(=CC(=C(C)C=C1)CN),35.34767411,-57.82706954319231,1,-57.919470647082306,1
FS-1980-01-E09,FC(F)OC1(=CC=C(C(=O)C)C=C1),38.435324964385636,-82.81001800745273,1
MF-0046-01-E10,FC1(=C(OC)C=C(C(=O)O)C=C1),102.4703436,-136.42664701178163,1
5X-0247-01-E11,FC(F)(F)C2(=CC=1(NCC3(CCCCN3(C=1C=C2)))),76.27434770085662,-61.190825113649645,1,-62.67190819234811,1,-119.56255707970269,1
3C-084-01-E12,ClC1(=C(C(F)=CC=C1)C2(=NOC(=C2C#N)C)),102.0695733,-110.35887404896641,1
TS-02982-01-F01,FC2(=CC=C(N1(CC(C(=O)O)CC1))C=C2),126.42761530188831,-127.86799476396979,1
AS-8811-01-F02,COc1ccc(cc1F)S(C)(=O)=O,117.7846595,-132.65597119534715,1
TS-02036-01-F03,FC1(=C(C=CC=C1)CC(=O)N),131.78520232779042,-117.74118916648624,1
BS-4139-01-F04,FC(F)(F)C1(=C(NC(=O)N)C=CC=C1),97.82683969163008,-61.124189702190506,1,-61.31432274288725,1
BS-3997-01-F05,FC1(=CC(NCC)=C(C(=O)O)C=C1),110.80715359668153,-108.08527380998059,1
CF-0051-01-F10,FC1(=C(F)C=CC2(=C1NN=C2N)),127.3619895,-142.32343668983907,1,-142.35808710379777,1,-159.83966518206472,1,-159.8752040681763,1
4X-0816-01-F11,FC(F)(F)C2(=CC(N1(CCN(CC#C)CC1))=CC=C2),112.6091414,-62.22856058810664,1
7G-014-01-F12,FC1(=C3(C(=CC=C1)C(C2(=CC=CC=C2))CC3=O)),128.5211975,-116.43158121327595,1
HR-0309-01-G01,CC1=CC=C(C=C1F)C(N)=N,108.03446464044957,-115.4906892034729,1
PS-9104-01-G02,FC2(=C1(N=CNC1=CC=C2)),128.0440675,-130.10161375608013,1
FS-3240-01-G04,FC2(=C1(C(NC(=C1)C(=O)O)=CC=C2)),86.58973188,-121.5287459538237,1
PS-6500-01-G05,FC(F)(F)C1(=NC(=C(C(=O)OC)C=C1)C),31.574469525035568,-108.08438533782778,1
